title,description,imageUrl,price
Tory Burch Women's Lee Radziwill Small Double Bag,Rated 3.8/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71c+S1Q+PuL._AC_UL1500_.jpg,998.00
Tory Burch Small Britten Leather Tote Black Handbag New,Rated 4/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71MzcivubOL._AC_UL1500_.jpg,895.00
Tory Burch 'Amanda' Logo Flap Clutch in Royal Tan,Rated 5/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61wrvJqJtjL._AC_UL1000_.jpg,895.00
Disney Dooney & Bourke Sketch Large Handbag,Rated 3.3/5 from 8 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81TJuqGSdfL._SL1500_.jpg,750.00
Kate Spade New York Margaux Medium Tote,Rated 5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91lJjmIuncL._AC_UL1500_.jpg,595.56
"Dooney & Bourke Handbag, Florentine Large Satchel",Rated 4/5 from 29 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71SROm-R4uL._AC_UL1500_.jpg,568.00
Disney Dooney and Bourke Haunted Mansion 50th Anniversary Tote,Rated 3.5/5 from 4 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61rMeKEo8FL._AC_UL1001_.jpg,509.13
COACH Womens Pebbled Leather Mini Nolita Satchel SV/Azure Satchel,Rated 4.6/5 from 4 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91SB82yp5zL._AC_UL1500_.jpg,498.95
Coach Mini Mollie Tote 25 Crossbody Bag (Strawberry Haze),Rated 3.6/5 from 6 Amazon shopper reviews.,https://m.media-amazon.com/images/I/41+eQ5FryPL._AC_UL1498_.jpg,498.95
COACH Bleeker Mini Coated Canvas Striped Preston Satchel in Silver; Sunglow White; 30172,Rated 2.8/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71njoZDf4hL._AC_UL1500_.jpg,498.95
COACH Women's Pebble Chelsea Crossbody,Rated 4.6/5 from 260 Amazon shopper reviews.,https://m.media-amazon.com/images/I/813JSDrOi-L._AC_UL1500_.jpg,498.95
Michael Kors Lana Leopard-print Hair Calf and Leather Tote Leopard,Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71uFuSPD-tL._AC_UL1500_.jpg,498.00
MICHAEL Michael Kors Hamilton MD Satchel bundled with Trifold Wallet and Purse Hook,Rated 4.6/5 from 95 Amazon shopper reviews.,https://m.media-amazon.com/images/I/615Fm+bn48L._AC_UL1001_.jpg,498.00
Coach Women's Pennie Backpack 22 (IM/Sport Blue Multi),Rated 4/5 from 24 Amazon shopper reviews.,https://m.media-amazon.com/images/I/6121SEun1xL._AC_SL1184_.jpg,486.01
COACH Women's Whls Floral Printed Taylor Tote Sv/Carmine/Wild Prairie One Size,Rated 3.6/5 from 14 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81zptBphXQL._AC_UL1500_.jpg,484.39
